100.mid,0.000000000000,0.007225757526,
10.mid,0.009536127385,0.000000000000,
11.mid,0.003120066293,0.008146311010,0.045577429777,
12.mid,0.016465515632,0.011294964772,0.000000000000,0.000000000000,0.016335565306,0.054376124953,0.015290980640,
13.mid,0.004204010756,
14.mid,0.070863602108,0.063952887934,0.049229777079,0.000000000000,0.002682383684,0.012538781884,
15.mid,0.024041763163,0.008767766909,
16.mid,0.000000000000,0.102984187184,0.024909485003,0.127055427974,0.017621644486,
17.mid,0.034985053385,0.005163209739,0.018284043300,0.019332599947,
18.mid,0.011372521102,0.122181075496,
19.mid,0.024705212538,0.016460955744,0.007653065308,0.034544778717,0.020980016534,0.018170861800,0.023868621844,
1.mid,
20.mid,0.004049168362,0.026547169230,0.021423552473,0.016640366719,0.000988526015,0.003112495577,
21.mid,0.000000000000,0.007990964243,0.016368035659,0.000000000000,0.009487741358,
22.mid,0.039641954604,0.003258929811,0.046937557598,0.010851409876,0.000000000000,
23.mid,0.000000000000,0.004728738992,0.013983826711,0.033037557768,
24.mid,0.023188268537,0.000000000000,0.044488643805,
25.mid,0.028661884404,0.009964350766,0.000000000000,
26.mid,0.015267122251,0.011527343840,0.024563207653,
27.mid,0.000000000000,0.015631497754,0.009739010012,0.005362403162,0.004558811399,0.005931013828,0.006342982236,
28.mid,0.028927605251,0.006857970447,0.043241175385,0.011288240198,0.009252327150,0.000000000000,
29.mid,0.000000000000,0.014607393974,0.004376773871,0.001173204436,0.009752089452,0.020134332482,
2.mid,0.000000000000,0.019126134493,0.015478329027,
30.mid,0.093000413704,0.018443490455,0.118372969659,0.086217283792,
31.mid,0.002273213071,0.016867056543,0.002005642718,0.017439538935,0.000000000000,
32.mid,0.013952570762,0.015870776913,0.007253739114,0.000000000000,0.006309638271,0.008348710736,
33.mid,0.010173362951,0.038014726853,
34.mid,0.032111805604,0.015525174500,
35.mid,0.009660475994,0.000000000000,0.034704957869,0.002932166016,0.020110331454,0.000000000000,
36.mid,0.010153177665,0.007473778237,0.013997324147,
37.mid,0.005278130566,0.006957509058,0.125743899953,0.000000000000,0.011471126186,
38.mid,0.000000000000,0.054338004129,0.000000000000,0.053493295928,
39.mid,0.110572925945,
3.mid,
40.mid,0.005629672398,0.025293289630,0.066036256057,
41.mid,0.045942962036,0.141744980986,
42.mid,0.023525329031,
43.mid,0.033509743120,0.013663029638,0.000000000000,0.015659443355,0.013029221733,0.070596399640,
44.mid,0.004140419583,0.000369071073,0.009115742930,
45.mid,0.009273419857,0.055733348160,0.037464476629,
46.mid,0.014489816603,0.014256110525,0.011953785086,0.050599879592,
47.mid,!! Not enough voices,
48.mid,0.010204840233,0.001362330519,
