100.mid,
10.mid,
11.mid,
12.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
13.mid,
14.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.571609203858,
15.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
16.mid,
17.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.029927986336,
18.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
19.mid,
1.mid,
20.mid,
21.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
22.mid,
23.mid,
24.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
25.mid,
26.mid,
27.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
28.mid,0.411164167642,
29.mid,0.658294487292,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.799697944638,
2.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
30.mid,0.000000000000,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.037696145135,
31.mid,
32.mid,
33.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.889240753608,
34.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
35.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.327047744664,
36.mid,
37.mid,
38.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.710967979235,
39.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.618630213487,
3.mid,!! Not enough voices,
40.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
41.mid,
42.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
43.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.447325788893,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.427010140945,0.418780241716,0.418780241716,0.418780241716,0.418780241716,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
44.mid,
45.mid,0.303734978121,
46.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.418035813000,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.765921302242,0.174193333079,0.732486898051,
47.mid,0.258147459334,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
48.mid,
49.mid,
4.mid,0.292620768289,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.471892364957,
50.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
51.mid,
52.mid,
53.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.418035813000,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.984931176464,
54.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
55.mid,
56.mid,0.000000000000,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.754744850652,
57.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
58.mid,
59.mid,0.627664002153,
5.mid,
60.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.422465250572,0.418780241716,0.418780241716,0.419522194041,0.418772936667,0.444031888465,0.418780241716,0.418780241716,0.418780241716,0.418780241716,0.419522194041,
61.mid,
62.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
63.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
64.mid,
65.mid,0.433317974456,
66.mid,
67.mid,
68.mid,0.340195663023,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.568187623037,0.089648668707,
69.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
6.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.418035813000,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.442913874014,0.418780241716,0.418780241716,0.419522194041,0.418772936667,0.444031888465,0.418780241716,0.418780241716,0.418780241716,0.418780241716,0.419522194041,
70.mid,
71.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
72.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
73.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.575235948598,0.432692340420,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.741059340214,
74.mid,
75.mid,
76.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.799392984329,
77.mid,
78.mid,0.602637945468,
79.mid,
7.mid,
80.mid,
81.mid,
82.mid,0.143417238645,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.031860486231,
83.mid,
84.mid,0.052122571392,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.418035813000,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.034776141834,0.524410037043,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.427010140945,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
85.mid,
86.mid,
87.mid,
88.mid,
89.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.573456486336,
8.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.915964012560,
90.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
91.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
92.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.418035813000,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.442913874014,0.418780241716,0.418780241716,0.419522194041,0.418772936667,0.813051875779,
93.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.442913874014,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.036755478562,0.443996411732,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.427010140945,0.418780241716,0.418780241716,0.418780241716,0.418780241716,0.419522194041,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.427010140945,0.418780241716,0.418780241716,0.418780241716,0.418780241716,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.707630925941,
94.mid,
95.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,0.452098969566,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.426943355691,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.617324607026,
96.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,
97.mid,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.432959407276,0.418035813000,0.419522194041,0.418772936667,0.418772936667,0.418780241716,0.005243216364,0.907441508143,
98.mid,0.418772936667,0.418772936667,0.418780241716,0.418780241716,0.418780241716,
99.mid,
9.mid,
